country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,7.03,7.58,6.42,8.01,7.14,6.48,7.18,7.76,4.39,3.25,4.52,3.75,3.97,3.22,4.05,3.02,4.25
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.556,0.383,0.247,0.605,0.364,0.227,0.316,0.285,0.274,0.172,0.162,,,0.155,0.144,0.135,0.251,0.461,1.66,0.97,0.6,0.5,0.5,0.4,0.7,0.7,0.7,0.7,0.8,1.2,2.4,2.2,2.1,1.5,2,2.4,2.3,2.8
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,1.75,1.48,1.56,1.23,1.61,3.98,2.46,2.35,1.97,1.41,1.62,1.52,1.07,1.71,1.5,1.58,2.04,1.61,2.32,1.71,1.42,2.49,2.78,2.52,2.06,4,6.35,5.2,4.09,4.41,4.07
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.47,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,,,,,,,,,,,2.11,,,,,,,,,,1.15,,,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,15.2,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,,,,,,,,,,,2.2,,,1.65,0.685,2.2,1.73,2.07,2.45,2.07,2.01,2.62,2.03,2.79,2.43,2.46,2.83
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.658,0.454,0.563,0.318,0.675,1.53,1.1,,2.33,,,,0.631,0.398,0.536,0.916,0.908,0.964,0.739,0.703,0.752,0.749,0.739,0.703,1.58,0.62,0.538
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,2.9,,,,0.63,,3.55,0.63,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.649,,,,,0.975,,,,,,,,0.214,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.0145,0.06,0.01,,0.026,0.0522,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96,,5,,4.4,4.4,,4.82,5.26,4.3,,2.41,,,1.98,1.03,2.13,,,2.65,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.414,1.44,1.29,1.43,1.02,3.01,1.4,1.1,1.31,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,1.24,0.952,0.446,1.08,1.09,0.733,0.747,0.914,0.725,0.533,0.789,0.857,0.593,1.1,0.662,0.653,0.459,0.782,1.1,1.28,0.865,0.849,1,2.03,2.34,2.49,2.04
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,0.11,,,,,,,,,0.1,0.25,0.29,0.28
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.27,4.33,6.68,7.67,6.19,5.27,6.8,4.21,5.15,4.79,4.39,3.44,2.61,3.32,3.34,2.96,2.36,1.88,1.92,2.81,1.98,2.31,1.98,2.09,1.74,2.02,2.79,2.45,2.27,2.34,1.95,1.96,1.67,1.48,1.45
United States,3.2,4.9,4.5,3.4,2.9,2.2,4.1,3.6,3.2,3.4,4.8,4.3,3.8,5.1,4.5,4.1,3.8,3.3,3,2.8,2.8,2.2,3.2,3.5,3.6,3,3.4,5.2,5.1,5,4,3.4,3.1,3.2,3.5,3.7,3.3,3.2,3,2.5,2.7,2.6,3,3.3,3.8,3.2,3.97,3.94,3.5,3.21,3.17,3.08,3.07,2.95,3.65,3.83,3.58,3.48,2.9,3.27,4.23,6.44,6.69,6.54,6.22,5.35,4.62,3.83,3.83,3.59
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04,4.26,5.3,4.32,2.8,3.39,3.22,2.72,2.73,2.25,2.12,2.69,2.8,2.03
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.37,3.74,2.58,2.27,2.37,2.73,2.15,2.05,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,0.0884,,,0.05,0.0687,0.0559,0.0386,0.0775,0.181,0.282,0.2
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,,,,,,,,,,,,,,,1.2,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.95,,,,,0.7,,,,,,,1.11,,,3.31,,,
