country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.775,,,,,,,2.09,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89,6.04,5.15,4.37,2.75,3.35,3.35
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,0.894,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,1.2,,,4.75,,,3.67
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.601,,0.577,1.11,5.39,1.83,1.18,2.29,1.32
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35,3.17,4.21,4.2,2.86,6.38,5.24,2.45,3.72,3.69,4.14,2.35,3.03,2.36,1.13,0.827,0.608,1.32,1.39,2.81,1.49,1.25,1.02,0.758,0.803
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,2.5,,1.44,1.67,1.19,1.98,2.41,3.39,1.75,2.22,,,4.61,,3.1,,3.73,0.801,,,,0.68,,1.93,0.709,0.0825,0.922,0.922,0.586,0.401,0.346,0.72,1,1.06
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.806,1.06,0.65
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.99,5.06,,1.11,1.26,,3.38,1.57,0.933,0.922,1.08,0.811,0.696,0.693,0.396,0.512,0.455,0.542,0.487,1,0.63
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6.76,3.55,,,,,,,,6.65,6.01,,,,,,,,,,
