country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hungary,,,1.99,2.89,2.72,2.86,2.89,2.4,2.44,1.95,1.84,1.55,1.55,1.57,1.61,2.01,2.14,2.13,2.22,2.74,3.4,3.19,3.25,3.06,2.34,2.06,1.55,1.18
Iceland,,0.166,0.297,0.782,0.852,0.836,0.538,0.5,0.468,0.246,0.317,,0.431,0.447,0.772,0.328,0.345,0.23,0.205,0.939,1.65,1.49,1.26,0.971,0.815,0.58,0.291,0.315
Indonesia,,,,,,,,,,,1.35,1.18,1.26,1.23,1.37,1.92,1.72,1.85,2.26,1.75,1.63,1.35,1.11,1.1,1.04,1.26,0.728,0.66
Iran,,,,,,,,,,,,,,,,,,,,2.26,2.57,,,,2.02,2.11,2.48,2.7
Ireland,,,4.29,4.45,4.45,3.59,3.52,3.02,2.27,1.55,1.11,0.847,0.982,1.17,1.13,1.05,1.09,1.22,1.54,3.31,4.83,5.36,5.41,4.78,4.04,3.32,2.69,2.01
Israel,,,,,,0.596,0.519,0.615,0.796,0.948,0.989,0.964,1.3,1.6,1.75,1.46,1.4,1.1,0.841,1.06,0.966,0.724,0.81,0.679,0.563,0.525,0.47,0.368
Italy,,,2.39,2.86,3.23,3.4,3.52,3.62,3.75,3.64,3.42,3.03,2.87,2.71,2.08,1.98,1.74,1.5,1.65,1.95,2.2,2.28,3.06,3.64,3.96,3.63,3.54,3.44
Japan,0.442,0.408,0.399,0.406,0.555,0.593,0.687,0.733,0.771,1.08,1.18,1.14,1.31,1.39,1.21,1.11,1.02,0.949,0.965,1.21,1.39,1.18,1.18,1.11,0.952,0.844,0.806,0.722
Kazakhstan,,,,,,,,,,,,,,,,,,,,1.26,1.01,0.797,0.98,0.882,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,1.31,1.19,1.21,1.19,1.84,1.84,1.67,1.8,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02
Latvia,,,,,,,,,5.09,4.78,4.96,4.8,3.86,3.79,3.34,3.06,1.78,1.34,1.7,4.75,6.76,5.7,5.08,3.85,3.33,3.12,2.99,2.4
Liberia,,,,,,,,,,,,,,,,,,,,,0.441,,,,,,,
Lithuania,,,,,,,,,5.1,3.96,5.24,5.86,4.59,4.12,3.8,2.73,1.63,0.954,1.02,3.14,5.74,5.37,4.43,3.57,3.39,2.8,2.29,1.94
Luxembourg,,,0.358,0.55,0.795,0.566,0.604,0.638,0.628,0.538,0.368,0.347,0.534,0.662,1.01,1.02,1.04,0.895,1.09,1.15,0.897,1.18,1.22,1.33,1.3,1.61,1.68,1.36
"Macedonia, FYR",,,,,,,,,,,,,,,,,14,14,13.5,12.8,13,12.6,12.5,11.9,11.6,10.7,9.44,8.7
Malawi,,,,,,,,,,,,,,,,,,,,,,,,1.22,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,0.22,0.183,0.167,0.18,0.164,0.171,0.182,0.222,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,0.773,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,1.66,
Malta,,,,,,,,,,,1.7,1.38,1.47,1.4,2.04,1.75,1.56,1.46,1.45,1.74,1.85,1.72,1.81,1.77,1.63,1.42,1.22,1.3
