"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Adjusted savings: particulate emission damage (% of GNI)","NY.ADJ.DPEM.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Adjusted savings: particulate emission damage (% of GNI)","NY.ADJ.DPEM.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.25474134341741","2.08787002836541","2.21548478749566","2.04378223121874","2.07889220972562","2.05807742113014","1.9859200606202","1.91881049597823","1.89347456069392","","",
"Angola","AGO","Adjusted savings: particulate emission damage (% of GNI)","NY.ADJ.DPEM.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.95436013153003","2.6726855849145","6.58125704884703","5.98816322629996","7.42905810901166","3.10194648310873","2.87025740042056","2.29640695226975","2.36511101850807","2.68032212093811","2.56040487569141","2.43708237230108","2.02490087670023","1.95315908615377","1.87092515445673","1.5900472488674","1.40107823419672","1.19843548882799","1.11460249816711","1.04911190374277","1.00960437115805","0.945772648223847","0.845038992512035","0.772509476431089","0.659706702694985","0.637875801597524","0.629412832592956","0.594984903019799","","",
"Albania","ALB","Adjusted savings: particulate emission damage (% of GNI)","NY.ADJ.DPEM.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.13187025646354","1.47640482496656","1.42858074195592","1.13335926744566","0.931283406364543","0.683584867291538","0.587395562267299","0.629481710421458","0.547313642280411","0.463499638769333","0.384825597509591","0.318201349533659","0.299339895780399","0.268032633249177","0.239548183348401","0.217115674750521","0.189952583628649","0.165791822512828","0.156856846190691","0.162052533251817","0.158150789284583","0.17371234938912","0.191111427791347","0.17180028025718","0.168780942580535","0.165200063385922","0.156934019772307","0.154224630877146","","",
"Andorra","AND","Adjusted savings: particulate emission damage (% of GNI)","NY.ADJ.DPEM.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted savings: particulate emission damage (% of GNI)","NY.ADJ.DPEM.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Adjusted savings: particulate emission damage (% of GNI)","NY.ADJ.DPEM.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0724926651897986","0.0737457664292137","0.0778620875867903","0.0725317823435969","0.0662357206380232","0.0625526589820558","0.0560399386529845","0.0571435577433568","0.058468089695983","0.0675945570864847","0.0683610341331111","0.0670104379401858","0.0681026745441845","0.0712533007442135","0.0760801128345993","0.084478647909148","0.0932647971535774","0.103673122038814","","",
"Argentina","ARG","Adjusted savings: particulate emission damage (% of GNI)","NY.ADJ.DPEM.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.290021610279293","0.278953851985867","0.268361861951685","0.245762582366489","0.231813788391249","0.241384061840415","0.235004732749862","0.21597451416472","0.206590648038931","0.210646929136629","0.199648409244087","0.212664996406293","0.233418067075353","0.199687403618225","0.176561555161177","0.153197881648569","0.130126180476788","0.129314625021106","0.128882384646657","0.145671629608225","0.133309500472791","0.131696509890854","0.126249583962858","0.122226982081232","0.121463462114322","0.118733381431284","0.117254947650604","0.114584997301884","","",
"Armenia","ARM","Adjusted savings: particulate emission damage (% of GNI)","NY.ADJ.DPEM.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.08718967220964","1.12588813963104","1.94860079538918","1.75614795748946","1.39027501050027","1.09639919322886","0.884140892309615","0.832721284488087","0.805147445245808","0.805239616127305","0.773169363895148","0.732146103770452","0.666755256259219","0.614506684403076","0.593891113827266","0.556315941082646","0.528305428803716","0.492936229575857","0.494461869375742","0.629336951913431","0.639154845481975","0.610706681293338","0.546147566407126","0.493079660893204","0.467087630498513","0.479122880944807","0.490258398526058","0.459700385541395","","",
"American Samoa","ASM","Adjusted savings: particulate emission damage (% of GNI)","NY.ADJ.DPEM.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Adjusted savings: particulate emission damage (% of GNI)","NY.ADJ.DPEM.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
