Period;City;Quality of Life Index;Purchasing Power Index;Safety Index;Health Care Index;Cost of Living Index;Property Price to Income Ratio;Traffic Commute Time Index;Pollution Index;Climate Index
2020;Bristol, United Kingdom;167,11;91,03;63,1;73,54;73,17;8,81;28,54;44,05;88,51
2020;Lyon, France;157,22;83,25;57,46;77;73,49;9,67;33,9;46,7;88,51
2020;Cairo, Egypt;79,48;24,53;50,43;44,96;30,94;12,49;51,1;92,82;88,45
2020;Thessaloniki, Greece;125,31;40,48;61,59;56,25;56,26;11,45;27,11;64,51;88,39
2020;Paris, France;116,89;71,17;48,24;77,14;85,16;22,02;42,58;66,29;88,39
2020;London, United Kingdom;119,54;78,16;47,52;68,52;81,3;21,21;45,27;60,51;88,25
2020;Rio de Janeiro, Brazil;74,2;33,01;22,59;42,59;42,7;20,62;52,44;68,45;88,22
2020;Bologna, Italy;141,32;60,44;55,72;77,03;70,03;10,49;32,52;55,73;88,12
2020;Milan, Italy;119,96;57,5;57,44;70,8;76,77;18,76;36,78;66,94;88,12
2020;Rotterdam, Netherlands;174,82;91,72;64,5;76,81;69,68;6,76;28,36;39,33;87,89
2020;Jacksonville, FL, United States;181,76;120,9;43,25;74,38;74,57;2,03;33,94;31,18;87,81
2020;Birmingham, United Kingdom;151,9;86,59;42,99;73,36;67,42;7,78;32,95;47,71;87,66
2020;Amsterdam, Netherlands;167,69;84,42;66,9;68,9;78,93;12,06;30,07;31,88;87,45
2020;Orlando, FL, United States;167,92;102,08;47,84;63,52;65,7;3,2;37,06;34,53;87,23
2020;Manchester, United Kingdom;147,28;88,2;46,74;78,16;68,25;8,75;40,72;53,52;86,95
2020;Dusseldorf, Germany;179,5;99,57;69,1;74,69;66,98;10,98;29,83;31,43;86,37
2020;Nicosia, Cyprus;140,77;55,5;70,11;52,24;62,73;6,97;26,15;59,59;86,01
2020;Dublin, Ireland;140,68;76,58;50,8;51,11;79,17;9,47;40,26;40,36;85,89
2020;Miami, FL, United States;157,18;100,26;47,51;64,37;74,16;4,79;43,29;40,71;85,69
2020;Turin, Italy;129,84;67,34;48,02;69,31;66,7;9,56;29,46;69,63;85,66
2020;Houston, TX, United States;165,28;141,31;36,65;71,11;65,13;2,12;41,42;55,77;85,53
2020;Madrid, Spain;152,58;73,65;69,76;79,27;58,25;12,98;35,29;53,25;85,47
2020;Antwerp, Belgium;156,82;88,7;65,36;80,03;70,98;5,81;36,8;60,77;85,42
2020;Eindhoven, Netherlands;194,78;102,23;74,91;72,13;73,79;5,79;25,76;22,24;85,38
2020;Tokyo, Japan;164,53;89,7;77,36;81,12;86,87;13,97;39,79;42,52;85,26
2020;Varna, Bulgaria;140,33;47,17;68,98;63,02;36,76;8,31;27,42;61,36;85,08
2020;Cologne, Germany;163,06;97,84;58,61;73,56;65,13;10,46;36,93;41,48;84,85
2020;Glasgow, United Kingdom;172,45;96,55;56,52;81,02;65,85;7,65;34,41;35,48;84,78
2020;Frankfurt, Germany;174;104,48;59,78;73,71;69,78;10,15;25,11;38,58;84,72
2020;Tampa, FL, United States;184,79;126,19;50,46;67,91;67,1;2,81;35,84;28,3;84,67
2020;Leeds, United Kingdom;169,51;102,24;57,03;82,2;64,83;6,46;32,61;47,6;84,59
2020;Taipei, Taiwan;143,04;67,1;85,8;86,58;64,3;33,1;33,56;49,71;84,38
2020;Tbilisi, Georgia;112,68;26,69;79,51;52,16;28,27;14,69;38,36;74,99;84,2
2020;Belgrade, Serbia;109,27;35,96;62,62;52,94;39,05;22;35,68;62,85;84,14
2020;Charlotte, NC, United States;197,91;144,29;56,89;74,47;72,4;2,46;36,38;27,24;84,05
2020;Novi Sad, Serbia;136,65;41,27;59,37;47,58;35,52;15,04;16,36;44,72;84,02
2020;Edinburgh, United Kingdom;184,11;89,95;69,47;80,68;69,94;8,86;27,17;26,16;84,01
2020;Raleigh, NC, United States;210,54;145,3;68,11;75,66;69,8;2,73;32,41;20,9;83,88
2020;Brussels, Belgium;146,45;94,14;50,04;74,29;72,33;6,3;36,43;63,21;83,85
2020;Copenhagen, Denmark;187,68;90,7;76,48;78,33;86,23;9,29;28,65;20,78;83,74
2020;Hong Kong, Hong Kong;99,05;65,32;79,3;66,08;77,22;47,46;41,46;67,69;83,64
2020;Shanghai, China;82,55;54,4;63,69;61,52;50,07;41,49;48,14;79,46;83,64
2020;Berlin, Germany;162,9;98,66;58,99;69,29;64,76;10,84;33,93;40,91;83,35
2020;Nashville, TN, United States;174,31;122,67;53,26;64,26;73,19;2,99;38,14;38,08;83,02
2020;Hamburg, Germany;174,15;102,73;56,02;75,61;71,24;9,77;32,48;29,46;82,75
2020;Canberra, Australia;213,79;117,59;80,68;81,95;75,16;5,08;23,7;14,23;82,72
2020;Luxembourg, Luxembourg;184,36;106,31;70,88;73,73;83,71;11,34;33,66;21,15;82,62
2020;Geneva, Switzerland;178,95;111,16;71,47;67,89;118,98;10,5;25,97;30,83;82,61
2020;Zagreb, Croatia;158,51;57,46;77,65;63,08;50,13;12,67;33,21;32,45;82,19
2020;Austin, TX, United States;194,86;145,76;64,46;70,4;67,79;3,58;34,37;35,47;82,08
2020;Timisoara, Romania;149,44;55,77;76,04;69,09;35,55;9,91;24,73;60,07;82,05
2020;Dallas, TX, United States;186,28;155,3;50,64;65,72;68,03;2,24;34,22;42,87;81,85
2020;Vienna, Austria;184,49;83,16;76,99;78,78;65,64;13,9;26,55;18,44;81,77
2020;Washington, DC, United States;168,66;130,25;43,72;70,23;87,74;4,42;41,97;39,62;81,62
2020;Zurich, Switzerland;199,15;126,9;83,17;73,52;128,29;8,23;34,36;17,29;81,48
2020;Baltimore, MD, United States;163,37;125,24;26,77;76,44;74,29;2,42;31,78;48,05;81,24
2020;Stuttgart, Germany;170,71;103,84;73,54;70,6;67,71;10,11;35,54;42,31;81,07
2020;Bratislava, Slovakia;150,03;63,85;69,78;58,57;48,27;12,87;31,04;41,27;80,72
2020;Prague, Czech Republic;157,46;66,41;75,5;73,46;49,03;17,65;32,5;36,48;80,67
2020;San Antonio, TX, United States;177,89;116,4;53,41;72,4;65,78;2,31;31,55;39,81;80,58
2020;Monterrey, Mexico;125,26;56,33;48,28;63,63;38,74;5,94;31,28;72,3;80,37
2020;New York, NY, United States;141,93;100;55,56;65,05;100;10,76;43,01;54,25;79,66
2020;Hanoi, Vietnam;91,59;28,99;61,75;54,1;39,88;19,24;29,59;91,27;79,04
2020;Odessa, Ukraine;106,48;32,33;47,11;51,78;35,09;12,16;35,67;65,32;79
2020;Budapest, Hungary;121,8;52,11;63,66;46,9;43,4;15,95;38,74;54,18;78,41
2020;Wroclaw, Poland;139,1;60,51;72,86;61,33;41,2;10,81;33,33;60,91;78,39
2020;Sarajevo, Bosnia And Herzegovina;111,07;42,48;51,08;52,92;38,63;13,81;28,68;70,01;78,18
2020;Brno, Czech Republic;160,84;65,52;73,67;74,47;46,01;11,68;25,79;43,3;78,17
2020;Coimbatore, India;122,61;45,16;63,49;70,47;24,22;12,61;49,76;62,25;78,1
2020;Philadelphia, PA, United States;149,58;100,23;39,74;70,47;78,84;3,68;40;49,5;77,98
2020;Gothenburg, Sweden;173,74;88,86;54,8;68,77;71,18;10,58;24,2;19,12;77,49
2020;Poznan, Poland;144,88;59,55;75,8;60,91;40,28;10,83;31,04;54,94;77,41
2020;Islamabad, Pakistan;135,76;30,28;71,37;63,88;22,95;13,41;35,66;44,55;76,91
2020;Skopje, Macedonia;104,21;38,4;55,27;56,17;34,54;13,37;28,6;83,36;76,3
2020;Ljubljana, Slovenia;167,88;63,88;78,76;65,78;54,79;13,32;28,03;23,88;76,11
2020;Sofia, Bulgaria;124,37;55,8;57,82;56,22;39,96;9,19;31,37;68,71;76,01
2020;Munich, Germany;178,99;95,97;82,61;78,09;72,19;16,9;33,54;24,55;75,98
2020;Chiang Mai, Thailand;124,09;33,9;77,76;84,45;46,64;17,68;27,4;77,09;75,93
2020;Bucharest, Romania;118,56;52,76;72,6;54,34;39,23;10,9;42,08;74,88;75,61
2020;Gdansk, Poland;151,55;62,65;72,03;57,78;41,4;12,05;29,61;40,23;75,51
2020;Kansas City, MO, United States;187,36;134,63;40,84;78,94;69,17;1,86;26,18;32,48;75,08
2020;Saint Louis, MO, United States;174,12;126,33;30,84;80,95;70,78;1,89;26,95;40,03;74,75
2020;Riga, Latvia;145,14;53,64;61,73;61,17;49,29;9,25;33,87;38,15;74,7
2020;Warsaw, Poland;136,91;63;74,51;61,2;44,09;13,73;35,2;58,74;74,61
2020;Cluj-Napoca, Romania;152,38;53,79;80,31;64,63;36,44;12,87;29,05;43,33;74,35
2020;Pune, India;124,53;63,72;61,99;67,18;27,63;10,73;44,06;72,12;74,32
2020;Krakow (Cracow), Poland;130,22;60,85;73,63;61,52;41,28;12,97;31,32;71,11;73,86
2020;Hyderabad, India;120,31;57,9;58,55;68,2;25,32;8,6;43,7;76,41;73,54
2020;Cincinnati, OH, United States;180,59;131,81;50,76;68,63;61,64;2,22;24,89;42,82;73,24
2020;Iasi, Romania;131,39;48,35;72,69;57,58;36,08;10,25;33,79;61,38;73,04
2020;Tucson, AZ, United States;173,18;105,2;50,09;59,75;72,12;2,81;29,5;25,95;72,66
2020;Pittsburgh, PA, United States;176,92;123,08;63,53;72,38;73,61;1,99;38,31;42,85;72,13
2020;Boston, MA, United States;174,91;112,39;64,37;75,3;82,88;7,81;44,86;26,61;71,73
2020;Mumbai, India;66,89;41,68;57,6;67,24;28,84;43,08;56,09;82,94;71,48
2020;Karachi, Pakistan;83,94;29,27;44,8;58,44;23,07;14,28;41,62;89,88;71,32
2020;Columbus, OH, United States;200,44;142,17;58,21;73,46;70,5;1,89;25,98;25,13;71,29
2020;Dhaka, Bangladesh;62,2;33,45;35,49;40,61;34,52;14,21;57,5;93,78;71,29
2020;San Juan, Puerto Rico;130,73;79,99;30,46;60,97;70,11;4,62;38,71;50,47;71,25
2020;Tehran, Iran;54,73;18,83;46,49;51,84;41,67;34,8;53,09;82,39;70,99
2020;Kiev, Ukraine;106,9;40,15;52,83;55,16;36,16;11,88;43,04;65,91;69,95
